,420,122,243,252,458,199,73,Agg
0,creatinine_last,creatinine_first,creatinine_last,creatinine_last,creatinine_max,creatinine_last,creatinine_last,creatinine_last
1,FUROSEMIDE,creatinine_max,creatinine_min,creatinine_max,creatinine_last,glucose_max,CHLORHEXIDINE,creatinine_max
2,wbc_max,bg_ph_min,PHENYLEPHRINE,glucose_max,glucose_max,CEFAZOLIN,creatinine_min,glucose_max
3,meanbp_last,hematocrit_first,VANCOMYCIN,urineoutput_sum,bun_last,lactate_max,diasbp_min,FUROSEMIDE
4,HEPARIN,bg_pao2_max,FUROSEMIDE,potassium_max,age,bg_paco2_min,resprate_min,bg_paco2_min
5,glucose_last,creatinine_min,glucose_max,BMI,creatinine_min,spo2_first,sysbp_max,glucose_min
6,creatinine_min,bg_ph_first,electivesurgery,creatinine_min,creatinine_first,sysbp_max,FUROSEMIDE,sysbp_last
7,glucose_min,hematocrit_min,sysbp_last,creatinine_first,platelet_first,lactate_min,hemoglobin_max,potassium_max
8,sysbp_last,hemoglobin_min,bg_baseexcess_min,hematocrit_first,diasbp_last,meanbp_first,diasbp_first,hemoglobin_min
9,resprate_max,creatinine_last,creatinine_max,bg_paco2_min,sysbp_max,bg_pao2fio2ratio_max,sysbp_first,age
10,urineoutput_sum,bg_paco2_min,diasbp_max,glucose_min,bg_pao2fio2ratio_last,BMI,meanbp_max,meanbp_first
11,glucose_max,hemoglobin_max,resprate_last,ALBUMIN,bg_ph_min,tempc_last,glucose_last,METOPROLOL
12,creatinine_max,hematocrit_last,bg_pao2_max,sysbp_first,tempc_first,meanbp_min,resprate_max,diasbp_last
13,spo2_min,urineoutput_sum,ASPIRIN,bg_baseexcess_min,glucose_first,bg_ph_max,glucose_first,ASPIRIN
14,tempc_first,tempc_max,urineoutput_sum,bilirubin_max,bg_ph_max,heartrate_first,BMI,bg_pao2_min
15,meanbp_first,tempc_min,bicarbonate_max,diasbp_last,glucose_min,meanbp_max,ALBUMIN,glucose_last
16,tempc_last,meanbp_max,BMI,glucose_last,tempc_min,meanbp_last,bg_ph_min,bg_pao2_max
17,age,bg_pao2_first,bun_max,FUROSEMIDE,bg_pao2_first,potassium_max,bun_last,BMI
18,potassium_max,platelet_first,resprate_first,glucose_first,urineoutput_sum,diasbp_last,hematocrit_max,bun_last
19,diasbp_max,bg_ph_max,potassium_min,albumin_first,sysbp_min,bg_pao2_max,bg_pao2fio2ratio_max,urineoutput_sum
20,heartrate_first,bicarbonate_last,bg_paco2_min,diasbp_max,sysbp_first,glucose_last,hematocrit_last,potassium_min
21,resprate_min,age,heartrate_last,hemoglobin_last,heartrate_first,sodium_min,age,diasbp_max
22,bicarbonate_last,hemoglobin_last,POTASSIUM CHLORIDE,bg_baseexcess_last,meanbp_min,creatinine_max,diasbp_max,bg_ph_min
23,METOPROLOL,bg_pao2fio2ratio_min,potassium_max,albumin_last,glucose_last,sysbp_last,meanbp_min,calcium_min
24,VANCOMYCIN,glucose_max,tempc_first,potassium_last,bg_paco2_last,diasbp_max,bg_pao2_first,bun_max
25,diasbp_first,bg_pao2fio2ratio_first,diasbp_first,diasbp_first,bg_pao2_min,heartrate_last,bg_pao2_min,platelet_last
26,bg_ph_last,platelet_last,AMIODARONE,age,BMI,METOPROLOL,ASPIRIN,calcium_last
27,diasbp_last,heartrate_max,heartrate_first,heartrate_last,hemoglobin_last,bun_last,inr_min,bilirubin_max
28,resprate_first,spo2_first,resprate_max,spo2_last,diasbp_min,bg_paco2_max,tempc_last,creatinine_min
29,potassium_last,hematocrit_max,bg_paco2_first,hemoglobin_min,bilirubin_first,tempc_max,creatinine_first,tempc_max
30,calcium_min,wbc_last,bg_ph_last,meanbp_first,diasbp_max,sysbp_min,heartrate_first,tempc_last
31,bg_pao2fio2ratio_first,sysbp_min,meanbp_max,heartrate_first,meanbp_first,urineoutput_sum,bg_pao2fio2ratio_min,meanbp_max
32,bg_pao2fio2ratio_min,potassium_min,glucose_last,meanbp_min,bg_pao2_max,bg_ph_first,creatinine_max,tempc_first
33,hematocrit_first,diasbp_min,bg_ph_first,heartrate_max,platelet_last,inr_min,glucose_max,sysbp_first
34,tempc_min,glucose_min,platelet_last,wbc_first,resprate_first,bun_first,albumin_last,bg_pao2_first
35,BMI,heartrate_last,platelet_first,POTASSIUM CHLORIDE,bg_paco2_min,ACETAMIN,glucose_min,bg_ph_last
36,bg_ph_first,diasbp_first,meanbp_last,resprate_first,bilirubin_last,lactate_first,bun_max,meanbp_min
37,lactate_first,bg_pao2fio2ratio_max,bg_pao2fio2ratio_last,spo2_first,platelet_min,heartrate_max,bg_pao2_max,electivesurgery
38,platelet_last,hemoglobin_first,bg_pao2fio2ratio_min,sodium_last,heartrate_max,bg_paco2_first,sysbp_last,sysbp_max
39,hematocrit_min,tempc_last,sysbp_min,bg_paco2_first,bg_baseexcess_last,bun_min,wbc_first,bg_baseexcess_max
40,sysbp_max,BMI,sysbp_first,bg_pao2_first,platelet_max,bun_max,spo2_last,hemoglobin_first
41,calcium_max,potassium_last,INSULIN,bun_max,tempc_last,age,bun_first,glucose_first
42,heartrate_max,bg_ph_last,diasbp_last,calcium_last,bg_paco2_max,resprate_max,potassium_first,heartrate_max
43,sysbp_min,resprate_min,inr_first,hemoglobin_first,diasbp_first,sodium_max,hemoglobin_first,bg_pao2fio2ratio_first
44,diasbp_min,bg_baseexcess_min,tempc_last,meanbp_last,spo2_last,platelet_min,inr_last,diasbp_first
45,bg_ph_min,heartrate_first,bun_first,diasbp_min,bg_pao2fio2ratio_min,resprate_first,bilirubin_first,resprate_min
46,calcium_last,sysbp_max,inr_max,resprate_min,meanbp_last,bicarbonate_min,heartrate_last,hematocrit_first
47,creatinine_first,glucose_last,bun_last,meanbp_max,hemoglobin_first,bg_baseexcess_first,platelet_last,resprate_max
48,tempc_max,tempc_first,albumin_first,bg_pao2fio2ratio_last,bg_pao2_last,resprate_min,heartrate_min,bg_pao2fio2ratio_last
49,calcium_first,bg_paco2_last,lactate_first,bg_baseexcess_first,bilirubin_min,platelet_last,diasbp_last,bg_pao2_last
50,hematocrit_last,bg_pao2_last,platelet_max,tempc_first,sysbp_last,hematocrit_first,potassium_min,resprate_last
51,sodium_last,resprate_max,bg_paco2_last,spo2_min,bilirubin_max,platelet_first,spo2_min,inr_first
52,resprate_last,sysbp_last,age,INSULIN,bg_pao2fio2ratio_max,albumin_min,bg_pao2_last,bg_paco2_max
53,bun_first,meanbp_last,heartrate_max,bg_ph_last,potassium_min,diasbp_min,bg_pao2fio2ratio_last,calcium_first
54,sodium_max,wbc_min,BISACODYL,hemoglobin_max,wbc_min,inr_last,urineoutput_sum,bilirubin_last
55,bg_pao2fio2ratio_max,glucose_first,creatinine_first,wbc_min,spo2_min,bg_baseexcess_max,resprate_first,heartrate_first
56,platelet_min,bg_baseexcess_first,bicarbonate_last,bg_pao2_last,calcium_last,diasbp_first,hemoglobin_last,sysbp_min
57,spo2_last,bg_paco2_first,lactate_max,hematocrit_max,DEXTROSE,glucose_first,tempc_first,bilirubin_first
58,wbc_first,POTASSIUM CHLORIDE,glucose_min,calcium_first,bg_ph_first,bicarbonate_max,meanbp_first,spo2_min
59,lactate_min,wbc_max,meanbp_first,bg_pao2_max,spo2_first,bg_paco2_last,bg_paco2_min,bg_pao2fio2ratio_min
60,wbc_last,bun_min,METOPROLOL,bilirubin_first,hemoglobin_max,lactate_last,hematocrit_first,calcium_max
61,sysbp_first,albumin_last,heartrate_min,resprate_max,bun_max,albumin_first,bg_pao2fio2ratio_first,spo2_first
62,bg_pao2_last,calcium_first,bilirubin_last,sodium_min,lactate_max,hematocrit_max,hematocrit_min,lactate_last
63,bg_pao2fio2ratio_last,spo2_last,platelet_min,tempc_last,bg_paco2_first,glucose_min,albumin_max,wbc_min
64,lactate_last,bg_paco2_max,bg_pao2_min,potassium_min,meanbp_max,bg_pao2fio2ratio_last,resprate_last,bg_paco2_last
65,bg_paco2_min,diasbp_last,diasbp_min,wbc_max,tempc_max,bg_ph_min,tempc_max,bg_baseexcess_min
66,heartrate_last,albumin_max,bicarbonate_min,bg_paco2_last,hemoglobin_min,bg_pao2_min,bg_ph_last,hematocrit_min
