,fed
0,FUROSEMIDE
1,creatinine_last
2,creatinine_min
3,ASPIRIN
4,creatinine_max
5,glucose_max
6,INSULIN
7,sysbp_max
8,hemoglobin_first
9,glucose_min
10,meanbp_first
11,bg_pao2fio2ratio_min
12,electivesurgery
13,creatinine_first
14,potassium_min
15,bun_last
16,bg_paco2_min
17,potassium_max
18,diasbp_last
19,CHLORHEXIDINE
20,potassium_first
21,PANTOPRAZOLE
22,heartrate_min
23,hemoglobin_max
24,bun_max
25,sysbp_last
26,bg_ph_min
27,HEPARIN
28,VANCOMYCIN
29,race_other
30,potassium_last
31,glucose_last
32,wbc_first
33,METOPROLOL
34,POTASSIUM CHLORIDE
35,resprate_max
36,age
37,BMI
38,meanbp_max
39,FENTANYL
40,bg_pao2fio2ratio_last
41,calcium_last
42,albumin_min
43,DEXTROSE
44,bg_pao2_first
45,calcium_min
46,bg_pao2_max
47,sodium_last
48,tempc_min
49,hematocrit_first
50,hematocrit_last
51,hemoglobin_last
52,bg_ph_last
53,glucose_first
54,ACETAMIN
55,meanbp_min
56,spo2_max
57,bg_baseexcess_max
58,platelet_first
59,ALBUTEROL
60,resprate_first
61,heartrate_last
62,diasbp_min
63,bg_baseexcess_last
64,diasbp_first
65,wbc_last
66,bg_paco2_first
67,bun_min
68,sodium_max
69,bg_baseexcess_first
70,race_black
71,bg_pao2_last
72,albumin_last
73,wbc_min
74,spo2_last
75,sodium_min
76,tempc_max
77,calcium_max
78,diasbp_max
79,PHENYLEPHRINE
80,inr_max
81,SODIUM CHLORIDE
82,bicarbonate_min
83,IPRATROPIUM
84,MIDAZOLAM
85,is_female
86,bicarbonate_first
87,bg_pao2fio2ratio_first
88,LACTATED RINGER
89,inr_last
90,bg_paco2_max
91,ATORVASTATIN
92,HYDRALAZINE
93,PROPOFOL
94,tempc_last
95,bicarbonate_last
96,sysbp_first
97,MORPHINE
98,wbc_max
99,bun_first
100,calcium_first
101,MAGNESIUM SULF
102,tempc_first
103,LABETALOL
104,bg_ph_first
105,hemoglobin_min
106,bg_ph_max
107,platelet_last
108,sysbp_min
109,HYDROCODONE
110,bg_baseexcess_min
111,bilirubin_first
112,FAMOTIDINE
113,hematocrit_max
114,bg_paco2_last
115,lactate_min
116,platelet_max
117,LISPRO
