,fed
0,creatinine_last
1,FUROSEMIDE
2,PHENYLEPHRINE
3,NITROGLYCERIN
4,urineoutput_sum
5,resprate_max
6,creatinine_min
7,bilirubin_first
8,bun_max
9,creatinine_max
10,PHENERGAN
11,PERCOCET
12,PARENTERAL NUTRITION
13,PANTOPRAZOLE
14,DOPAMINE
15,DIPHENHYDRAMINE
16,PLASMA-LYTE
17,PIPERACILLIN
18,PHYTONADIONE
19,DIPRIVAN
20,meanbp_min
21,bg_baseexcess_min
22,POLYETHYLENE GLYCOL
23,PNU-IMMUNE-23
24,PNEUMOCOCCAL
25,PLAVIX
26,bg_ph_min
27,bg_pao2fio2ratio_min
28,bg_paco2_min
29,bg_pao2_min
30,PRECEDEX
31,PRAVASTATIN SODIUM
32,POTASSIUM PHOSPHATE
33,POTASSIUM CHLORIDE
34,spo2_min
35,tempc_min
36,resprate_min
37,diasbp_min
38,OPTIRAY
39,OXYCODONE
40,PRILOCAINE
41,PREDNISONE
42,bicarbonate_min
43,sysbp_min
44,heartrate_min
45,wbc_last
46,NALOXONE
47,DOCUSATE
48,OMEPRAZOLE
49,ONDANSETRON
50,sodium_last
51,potassium_last
52,platelet_last
53,lactate_last
54,NARCAN
55,inr_last
56,NEXTERONE
57,NEURONTIN
58,NEOSTIGMINE METHYLSULFATE
59,NEOSTIGMINE
60,albumin_min
61,bilirubin_min
62,hematocrit_last
63,sodium_min
64,NITRO-BID
65,NICODERM
66,PRINIVIL
67,NICARDIPINE
68,bg_pao2_max
69,spo2_max
70,tempc_max
71,meanbp_max
72,NOREPINEPHRINE
73,NORCO
74,NITROPRUSSIDE
75,diasbp_max
76,sysbp_max
77,heartrate_max
78,wbc_min
79,NYSTATIN
80,NORVASC
81,NORMODYNE
82,potassium_min
83,bun_min
84,platelet_min
85,PROPOFOL
86,PROMETHAZINE
87,PROCHLORPERAZINE
88,NICOTINE
89,lactate_min
90,inr_min
91,hemoglobin_min
92,hematocrit_min
93,TRAMADOL
94,TORADOL
95,TIOTROPIUM
96,TICAGRELOR
97,glucose_min
98,calcium_min
99,hemoglobin_last
100,ULTRAM
101,TRAZODONE
102,TRANSDERM-SCOP
103,TRANDATE
104,glucose_last
105,sysbp_first
106,albumin_first
107,hemoglobin_first
108,VENTOLIN
109,VASOPRESSIN
110,VALIUM
111,THIAMINE
112,hematocrit_first
