,420,122,243,252,458,199,73,Agg
0,glucose_min,resprate_max,ASPIRIN,INSULIN,FUROSEMIDE,glucose_last,creatinine_last,creatinine_last
1,sysbp_max,bg_pao2fio2ratio_first,ASPART,ASPIRIN,ONDANSETRON,potassium_first,POTASSIUM CHLORIDE,hemoglobin_first
2,urineoutput_sum,creatinine_last,meanbp_first,spo2_max,glucose_max,bg_ph_last,ONDANSETRON,bg_paco2_first
3,ASPIRIN,bg_pao2_last,potassium_max,sysbp_first,tempc_min,bg_pao2_first,creatinine_min,potassium_min
4,calcium_max,wbc_last,hematocrit_first,bg_ph_max,bg_pao2_first,potassium_min,meanbp_first,bun_last
5,creatinine_last,creatinine_min,hemoglobin_first,sysbp_max,age,DOCUSATE,wbc_first,FUROSEMIDE
6,resprate_max,bun_last,FUROSEMIDE,SODIUM CHLORIDE,meanbp_max,FUROSEMIDE,FUROSEMIDE,bg_paco2_max
7,ASPART,bg_pao2fio2ratio_min,POTASSIUM CHLORIDE,urineoutput_sum,creatinine_last,bun_max,race_other,hemoglobin_max
8,OXYCODONE,meanbp_last,bg_pao2_max,creatinine_min,sodium_min,bun_last,FENTANYL,sysbp_last
9,HEPARIN,bg_paco2_min,tempc_max,albumin_first,calcium_first,bg_pao2fio2ratio_min,hemoglobin_max,platelet_first
10,resprate_last,heartrate_first,bg_pao2fio2ratio_min,creatinine_last,diasbp_last,bun_min,spo2_last,bg_baseexcess_first
11,FUROSEMIDE,bg_pao2fio2ratio_max,glucose_max,albumin_max,spo2_first,potassium_last,bg_ph_min,potassium_last
12,ONDANSETRON,tempc_first,bg_ph_min,glucose_min,spo2_last,bg_paco2_first,ACETAMIN,meanbp_first
13,is_female,bg_pao2_min,heartrate_last,FUROSEMIDE,sysbp_first,sysbp_min,resprate_max,creatinine_min
14,glucose_last,creatinine_max,OXYCODONE,sysbp_min,is_female,is_female,wbc_last,creatinine_max
15,BMI,sysbp_last,creatinine_last,ALBUTEROL,tempc_max,FAMOTIDINE,potassium_first,platelet_last
16,sodium_min,bun_min,potassium_min,ONDANSETRON,glucose_min,resprate_first,creatinine_max,heartrate_first
