,fed
0,creatinine_last
1,creatinine_min
2,FUROSEMIDE
3,creatinine_max
4,creatinine_first
5,POTASSIUM CHLORIDE
6,ASPIRIN
7,METOPROLOL
8,potassium_max
9,electivesurgery
10,INSULIN
11,glucose_last
12,glucose_max
13,meanbp_first
14,diasbp_last
15,bun_last
16,VANCOMYCIN
17,BMI
18,meanbp_last
19,sysbp_max
20,age
21,diasbp_first
22,potassium_min
23,bg_paco2_min
24,bg_pao2fio2ratio_min
25,sysbp_last
26,tempc_min
27,tempc_first
28,bg_ph_last
29,MAGNESIUM SULF
30,hemoglobin_min
31,wbc_max
32,heartrate_min
33,glucose_min
34,bg_pao2fio2ratio_last
35,calcium_first
36,bicarbonate_min
37,bilirubin_max
38,sodium_max
39,hemoglobin_first
40,sysbp_first
41,bg_pao2_max
42,CHLORHEXIDINE
43,bun_min
44,HEPARIN
45,bg_pao2fio2ratio_first
46,BISACODYL
47,bilirubin_min
48,spo2_last
49,tempc_last
50,bg_ph_min
51,DOCUSATE
52,wbc_min
53,FENTANYL
54,meanbp_max
55,is_female
56,bun_first
57,bg_pao2_first
58,potassium_first
59,bg_paco2_last
60,heartrate_last
61,bun_max
62,bg_ph_max
63,MORPHINE
64,hematocrit_last
65,bg_paco2_max
66,tempc_max
67,bg_pao2_last
68,calcium_last
69,hematocrit_min
70,platelet_first
71,wbc_last
72,albumin_min
73,hemoglobin_max
74,bg_baseexcess_last
75,ALBUMIN
76,bilirubin_last
77,albumin_first
78,heartrate_max
79,bg_paco2_first
80,platelet_min
81,spo2_min
82,bilirubin_first
83,resprate_min
84,ASPART
85,potassium_last
86,platelet_last
87,inr_min
88,race_black
89,bicarbonate_max
90,DEXMEDETOMIDINE
91,CEFAZOLIN
92,diasbp_max
93,SODIUM CHLORIDE
94,meanbp_min
95,lactate_first
96,bg_baseexcess_first
97,bg_ph_first
98,sysbp_min
99,SENNOSIDES
100,albumin_max
101,ALBUTEROL
102,spo2_first
103,resprate_first
104,bicarbonate_last
105,DEXTROSE
106,bg_baseexcess_max
107,glucose_first
108,calcium_max
109,inr_last
110,heartrate_first
111,ACETAMIN
112,inr_max
113,ONDANSETRON
114,bg_pao2fio2ratio_max
115,PHENYLEPHRINE
116,AMIODARONE
117,resprate_last
118,platelet_max
119,lactate_max
120,calcium_min
121,lactate_min
122,PANTOPRAZOLE
123,HYDROCODONE
124,OXYCODONE
125,bg_pao2_min
126,urineoutput_sum
127,GLUCAGON
128,NOREPINEPHRINE
129,race_other
130,METOCLOPRAMIDE
131,hematocrit_max
132,inr_first
133,LORAZEPAM
134,spo2_max
135,hematocrit_first
136,CALCIUM GLUCONATE
137,bicarbonate_first
138,PIPERACILLIN
139,bg_baseexcess_min
140,LISPRO
141,OMEPRAZOLE
142,HYDROMORPHONE
143,FOLIC ACID
144,lactate_last
145,LACTATED RINGER
146,sodium_last
147,MUPIROCIN
148,diasbp_min
149,CEFTRIAXONE
150,sodium_min
151,IPRATROPIUM
152,CARVEDILOL
153,PROPOFOL
154,FAMOTIDINE
155,AMLODIPINE
156,hemoglobin_last
157,TRAMADOL
158,SIMVASTATIN
159,ATORVASTATIN
160,LEVOTHYROXINE
161,GLUCOSE
162,MIDAZOLAM
163,DIPHENHYDRAMINE
164,HYDRALAZINE
165,resprate_max
166,VITAMIN
167,CLOPIDOGREL
168,MAGNESIUM HYDROXIDE
169,wbc_first
170,POLYETHYLENE GLYCOL
171,NITROGLYCERIN
172,ZOLPIDEM
173,LEVETIRACETAM
174,LISINOPRIL
175,ENOXAPARIN
176,SODIUM BICARBONATE
177,CLONIDINE
178,MONO-SOD
179,LEVOFLOXACIN
180,PNEUMOCOCCAL
181,ALUM HYDROXIDE
182,GABAPENTIN
183,LABETALOL
184,albumin_last
185,THIAMINE
186,CEFEPIME
187,ALLOPURINOL
188,CALCIUM CHLORIDE
189,METRONIDAZOLE
190,GLARGINE
191,PREDNISONE
192,PLASMA-LYTE
193,TAMSULOSIN
194,ATROPINE
195,BIOTENE
196,LACTULOSE
197,KETOROLAC
198,sodium_first
199,DEXAMETHASONE
200,RINGERS SOLUTION
201,NALOXONE
202,LIDOCAINE
203,ALTEPLASE
204,FERROUS
205,DILTIAZEM
206,WARFARIN
207,race_hispanic
208,PROCHLORPERAZINE
209,HALOPERIDOL
210,MEROPENEM
211,LANTUS
212,REFRESH P.M. OP OINT
213,MINERAL
214,PROMETHAZINE
215,PHYTONADIONE
216,AMINOCAPROIC ACID
217,SODIUM PHOSPHATE
218,TICAGRELOR
219,NITROPRUSSIDE
220,INFLUENZA VAC
221,DIGOXIN
222,QUETIAPINE
223,HYDROCHLOROTHIAZIDE
224,CALCIUM CARBONATE
225,LOSARTAN
226,HYDROCORTISONE
227,NICARDIPINE
228,METHYLPREDNISOLONE
229,GUAIFENESIN
230,IOPAMIDOL
231,ANTICOAGULANT
232,DIAZEPAM
233,FLUTICASONE-SALMETEROL
234,TIOTROPIUM
235,race_asian
236,ROCURONIUM
237,SODIUM POLYSTYRENE SULFONATE
238,ALPRAZOLAM
239,ISOSORBIDE
240,CITALOPRAM
241,TRAZODONE
242,TACROLIMUS
243,LORATADINE
244,MIDODRINE
245,ETOMIDATE
246,POTASSIUM PHOSPHATE
247,NICOTINE
248,AZITHROMYCIN
249,SPIRONOLACTONE
250,NEOSTIGMINE METHYLSULFATE
251,CLONAZEPAM
252,PRILOCAINE
