,420,122,243,252,458,199,73,Agg
0,ASPIRIN,bg_pao2fio2ratio_first,ASPIRIN,bg_ph_max,FUROSEMIDE,potassium_first,ONDANSETRON,creatinine_last
1,sysbp_max,resprate_max,ASPART,INSULIN,ONDANSETRON,glucose_last,creatinine_last,hemoglobin_first
2,HEPARIN,creatinine_last,meanbp_first,spo2_max,glucose_max,potassium_min,wbc_first,FUROSEMIDE
3,urineoutput_sum,bg_pao2_last,potassium_max,ASPIRIN,age,bun_last,race_other,potassium_min
4,calcium_max,meanbp_last,hematocrit_first,SODIUM CHLORIDE,bg_pao2_first,bg_pao2_first,POTASSIUM CHLORIDE,sysbp_last
5,glucose_min,bun_last,POTASSIUM CHLORIDE,urineoutput_sum,tempc_min,bg_ph_last,spo2_last,bun_last
6,creatinine_last,wbc_last,hemoglobin_first,sysbp_max,is_female,FUROSEMIDE,meanbp_first,meanbp_first
7,resprate_last,bg_pao2fio2ratio_min,METOPROLOL,sysbp_first,creatinine_last,bg_paco2_first,creatinine_min,glucose_min
8,resprate_max,bun_min,tempc_max,glucose_min,meanbp_max,sysbp_min,FUROSEMIDE,bg_paco2_first
9,OXYCODONE,creatinine_min,FUROSEMIDE,creatinine_min,diasbp_min,bun_max,ACETAMIN,bg_paco2_max
10,FUROSEMIDE,bg_pao2_min,heartrate_last,creatinine_last,sysbp_first,potassium_last,hemoglobin_max,hemoglobin_max
11,ONDANSETRON,wbc_min,creatinine_last,spo2_last,spo2_first,spo2_min,CHLORHEXIDINE,bg_pao2fio2ratio_min
12,glucose_last,tempc_first,ACETAMIN,albumin_first,tempc_max,DOCUSATE,creatinine_max,platelet_first
13,POTASSIUM CHLORIDE,creatinine_max,bg_pao2fio2ratio_min,FENTANYL,sodium_min,creatinine_last,FENTANYL,sysbp_max
14,bun_last,heartrate_first,OXYCODONE,POTASSIUM CHLORIDE,diasbp_last,FAMOTIDINE,resprate_max,glucose_max
15,BMI,POTASSIUM CHLORIDE,glucose_max,meanbp_first,calcium_first,platelet_last,potassium_first,platelet_last
16,ASPART,BMI,bg_ph_min,albumin_min,potassium_last,sysbp_first,heartrate_last,calcium_min
17,sodium_min,bg_pao2_max,bg_pao2_max,sysbp_min,spo2_last,tempc_first,ASPIRIN,bg_ph_last
18,VANCOMYCIN,bg_pao2fio2ratio_max,creatinine_min,albumin_max,creatinine_max,tempc_last,potassium_max,ASPIRIN
19,tempc_max,MAGNESIUM SULF,creatinine_max,FUROSEMIDE,resprate_first,is_female,INSULIN,bg_baseexcess_first
20,METOPROLOL,glucose_min,potassium_min,ALBUTEROL,CHLORHEXIDINE,spo2_first,LACTATED RINGER,bg_paco2_min
21,FOLIC ACID,bg_paco2_min,resprate_last,SENNOSIDES,hemoglobin_max,heartrate_max,resprate_first,CHLORHEXIDINE
22,glucose_max,spo2_first,bicarbonate_first,METOPROLOL,glucose_min,SENNOSIDES,sodium_min,wbc_first
23,MAGNESIUM SULF,potassium_min,glucose_first,FAMOTIDINE,DEXTROSE,CALCIUM GLUCONATE,ALUM HYDROXIDE,FENTANYL
24,heartrate_max,sysbp_first,BIOTENE,creatinine_max,diasbp_first,bun_min,tempc_max,bg_pao2_last
25,bg_ph_min,resprate_min,sysbp_max,sodium_last,resprate_last,meanbp_first,DEXTROSE,INSULIN
26,FENTANYL,bg_paco2_first,hemoglobin_max,ONDANSETRON,resprate_max,spo2_last,wbc_last,bg_baseexcess_min
27,bg_pao2_min,bg_ph_max,PANTOPRAZOLE,heartrate_min,ACETAMIN,resprate_first,diasbp_first,bg_ph_first
28,ALBUTEROL,hematocrit_min,CHLORHEXIDINE,resprate_first,bg_paco2_min,bg_pao2_max,bg_ph_last,potassium_last
29,creatinine_max,glucose_max,bg_paco2_max,creatinine_first,SODIUM CHLORIDE,bun_first,LABETALOL,creatinine_min
30,bg_pao2_max,heartrate_last,resprate_min,tempc_max,heartrate_max,diasbp_first,glucose_max,meanbp_last
31,creatinine_min,sysbp_max,bicarbonate_min,BMI,heartrate_first,hematocrit_first,heartrate_min,SENNOSIDES
32,hemoglobin_first,wbc_first,meanbp_min,MIDAZOLAM,lactate_min,tempc_max,ALBUTEROL,LACTATED RINGER
33,meanbp_last,hemoglobin_min,diasbp_last,hemoglobin_max,PANTOPRAZOLE,bg_pao2fio2ratio_min,bg_paco2_last,hematocrit_max
34,calcium_min,urineoutput_sum,bg_pao2fio2ratio_first,potassium_max,meanbp_min,lactate_first,creatinine_first,age
35,meanbp_max,sodium_min,meanbp_max,wbc_first,hemoglobin_first,albumin_min,hematocrit_first,albumin_min
36,bg_baseexcess_min,sodium_max,heartrate_first,sodium_first,creatinine_min,meanbp_min,is_female,HYDROMORPHONE
37,RINGERS SOLUTION,lactate_first,sysbp_last,glucose_max,lactate_last,bg_pao2fio2ratio_last,bg_ph_min,sodium_min
38,hemoglobin_max,hemoglobin_first,hemoglobin_last,ACETAMIN,spo2_min,HEPARIN,bg_paco2_first,calcium_last
39,potassium_max,is_female,creatinine_first,electivesurgery,platelet_max,bg_paco2_min,IPRATROPIUM,hemoglobin_last
40,CALCIUM GLUCONATE,spo2_last,bg_paco2_min,bg_pao2_max,INSULIN,OMEPRAZOLE,HEPARIN,resprate_last
41,age,diasbp_first,ATORVASTATIN,calcium_first,bg_pao2fio2ratio_min,wbc_max,lactate_last,heartrate_last
42,heartrate_min,sysbp_min,bg_pao2_first,sodium_max,potassium_first,platelet_min,meanbp_min,bg_pao2_first
43,spo2_last,sysbp_last,bg_baseexcess_min,resprate_last,bicarbonate_first,creatinine_min,bg_pao2_first,diasbp_last
44,heartrate_last,sodium_first,spo2_first,age,resprate_min,glucose_first,PANTOPRAZOLE,race_other
45,heartrate_first,ALBUTEROL,ONDANSETRON,meanbp_min,sysbp_min,albumin_first,NITROGLYCERIN,potassium_max
46,is_female,ONDANSETRON,BISACODYL,glucose_last,wbc_max,heartrate_min,spo2_max,bilirubin_last
47,NOREPINEPHRINE,meanbp_first,urineoutput_sum,hematocrit_max,creatinine_first,BMI,ALBUMIN,ALBUMIN
48,hematocrit_max,resprate_first,calcium_first,PROPOFOL,DOCUSATE,diasbp_min,bg_pao2fio2ratio_last,calcium_max
49,bg_pao2fio2ratio_first,hematocrit_first,hematocrit_min,DOCUSATE,albumin_last,CHLORHEXIDINE,BMI,resprate_max
50,LISPRO,electivesurgery,tempc_last,bg_ph_first,bg_ph_min,albumin_last,diasbp_min,lactate_first
51,ACETAMIN,bg_baseexcess_first,hematocrit_last,bg_pao2fio2ratio_min,lactate_first,bg_ph_first,heartrate_first,creatinine_first
52,wbc_max,albumin_first,platelet_first,tempc_last,sysbp_last,sodium_last,potassium_last,glucose_last
53,bun_min,albumin_max,spo2_min,bg_paco2_first,heartrate_min,sysbp_max,bg_paco2_min,bilirubin_max
54,PROPOFOL,platelet_max,sysbp_first,wbc_last,electivesurgery,FENTANYL,albumin_last,bilirubin_first
55,hematocrit_first,resprate_last,resprate_first,bg_paco2_last,calcium_last,bg_pao2fio2ratio_max,bicarbonate_last,heartrate_first
56,DOCUSATE,METOPROLOL,ENOXAPARIN,potassium_min,bg_baseexcess_first,bicarbonate_last,SODIUM CHLORIDE,bg_pao2_max
57,bg_pao2fio2ratio_min,potassium_first,hematocrit_max,bg_pao2_last,hematocrit_last,sodium_min,race_black,bg_ph_max
58,spo2_max,lactate_min,bg_paco2_last,POLYETHYLENE GLYCOL,bun_last,CEFAZOLIN,platelet_max,tempc_first
59,diasbp_last,SODIUM CHLORIDE,glucose_min,VANCOMYCIN,diasbp_max,creatinine_max,bg_pao2_last,bg_pao2fio2ratio_max
60,wbc_min,bg_pao2fio2ratio_last,spo2_last,hemoglobin_first,bg_ph_last,ALBUTEROL,glucose_min,sodium_max
61,bg_pao2_last,heartrate_max,HYDRALAZINE,diasbp_max,meanbp_last,glucose_max,LORAZEPAM,bg_ph_min
62,LORAZEPAM,race_black,HEPARIN,bg_baseexcess_first,bg_ph_first,spo2_max,bg_pao2_max,platelet_max
63,PANTOPRAZOLE,age,BMI,HYDRALAZINE,bicarbonate_last,hemoglobin_first,resprate_min,heartrate_min
64,sysbp_first,hematocrit_last,bg_pao2fio2ratio_last,DEXTROSE,potassium_min,bg_baseexcess_last,bg_baseexcess_min,bg_baseexcess_max
65,POTASSIUM PHOSPHATE,hemoglobin_max,calcium_last,hematocrit_min,platelet_min,wbc_first,LISPRO,lactate_max
66,glucose_first,platelet_first,race_other,bg_paco2_max,LISPRO,wbc_last,spo2_first,ENOXAPARIN
67,bicarbonate_max,bicarbonate_last,heartrate_min,bg_pao2fio2ratio_max,race_other,bilirubin_max,bun_first,spo2_max
68,bg_pao2_first,wbc_max,calcium_min,diasbp_first,glucose_first,SODIUM CHLORIDE,hemoglobin_last,tempc_min
69,diasbp_min,bg_paco2_last,bg_baseexcess_first,HYDROCODONE,FENTANYL,heartrate_first,diasbp_last,resprate_min
70,CEFTRIAXONE,calcium_first,heartrate_max,tempc_first,BMI,bg_ph_min,hemoglobin_first,bg_paco2_last
71,inr_max,sodium_last,spo2_max,sodium_min,urineoutput_sum,ONDANSETRON,GLUCOSE,hematocrit_min
72,SENNOSIDES,race_other,race_black,diasbp_last,sysbp_max,MAGNESIUM SULF,glucose_first,LISPRO
73,albumin_max,creatinine_first,MIDAZOLAM,meanbp_last,bg_ph_max,calcium_max,PROPOFOL,meanbp_max
74,calcium_first,hemoglobin_last,wbc_last,calcium_max,ASPIRIN,bg_baseexcess_max,MORPHINE,creatinine_max
75,sysbp_last,PANTOPRAZOLE,lactate_min,spo2_first,hematocrit_min,tempc_min,bicarbonate_first,hemoglobin_min
76,tempc_last,bg_ph_last,electivesurgery,meanbp_max,platelet_first,ENOXAPARIN,lactate_max,tempc_max
77,albumin_first,IPRATROPIUM,NOREPINEPHRINE,OMEPRAZOLE,hematocrit_max,sysbp_last,bicarbonate_max,electivesurgery
78,bun_max,bg_pao2_first,bg_paco2_first,hemoglobin_min,platelet_last,AMIODARONE,CALCIUM GLUCONATE,bun_max
79,bg_ph_max,meanbp_max,age,wbc_min,hematocrit_first,resprate_last,tempc_min,sodium_last
80,sysbp_min,spo2_min,bg_pao2fio2ratio_max,albumin_last,hemoglobin_last,IPRATROPIUM,bg_ph_first,sysbp_min
81,spo2_first,ACETAMIN,MORPHINE,heartrate_max,wbc_min,inr_last,DEXMEDETOMIDINE,wbc_min
82,bg_paco2_last,albumin_last,is_female,ATORVASTATIN,sodium_first,bg_paco2_max,PROCHLORPERAZINE,ALBUTEROL
83,diasbp_max,glucose_first,tempc_first,bg_ph_min,meanbp_first,lactate_last,potassium_min,spo2_first
84,electivesurgery,diasbp_min,albumin_last,calcium_min,tempc_last,meanbp_last,diasbp_max,calcium_first
85,wbc_last,bicarbonate_min,CARVEDILOL,glucose_first,bicarbonate_min,meanbp_max,hematocrit_last,bg_pao2fio2ratio_first
86,wbc_first,diasbp_max,lactate_max,bg_baseexcess_min,bg_paco2_last,INSULIN,tempc_last,diasbp_first
87,inr_last,calcium_max,wbc_max,hematocrit_first,METOPROLOL,resprate_min,spo2_min,lactate_last
88,FAMOTIDINE,spo2_max,FENTANYL,sysbp_last,FAMOTIDINE,creatinine_first,MAGNESIUM HYDROXIDE,bicarbonate_last
89,lactate_last,potassium_max,diasbp_first,CEFAZOLIN,ALBUTEROL,urineoutput_sum,age,albumin_first
90,bg_paco2_min,bun_max,NITROGLYCERIN,MAGNESIUM SULF,bg_baseexcess_max,potassium_max,bg_pao2fio2ratio_min,hematocrit_first
91,tempc_first,bg_baseexcess_min,bg_ph_first,platelet_first,hemoglobin_min,calcium_last,bg_pao2_min,heartrate_max
92,platelet_last,tempc_max,DIAZEPAM,bun_last,wbc_last,bilirubin_first,glucose_last,bun_first
93,lactate_max,heartrate_min,albumin_min,bicarbonate_max,bg_pao2_last,bg_pao2_last,bg_ph_max,platelet_min
94,LEVETIRACETAM,ASPIRIN,bicarbonate_max,bg_pao2_first,sodium_max,hemoglobin_last,bg_paco2_max,wbc_max
95,bg_baseexcess_max,HYDROCODONE,wbc_first,inr_last,potassium_max,sodium_first,albumin_first,BISACODYL
96,CEFAZOLIN,calcium_last,glucose_last,BISACODYL,bg_pao2fio2ratio_last,inr_max,sysbp_min,bg_pao2_min
97,ATORVASTATIN,glucose_last,lactate_last,DEXMEDETOMIDINE,bg_baseexcess_last,bg_pao2_min,sodium_last,HYDRALAZINE
98,ALBUMIN,bg_baseexcess_max,DOCUSATE,lactate_max,heartrate_last,diasbp_max,sodium_max,albumin_last
99,meanbp_min,inr_first,potassium_last,resprate_max,IPRATROPIUM,ASPART,ATORVASTATIN,ATORVASTATIN
100,PHENYLEPHRINE,tempc_last,bun_min,HEPARIN,calcium_min,inr_first,sysbp_first,bilirubin_min
101,creatinine_first,diasbp_last,PHENYLEPHRINE,bg_baseexcess_last,inr_min,bg_ph_max,sysbp_last,NITROGLYCERIN
102,albumin_last,bg_ph_first,bg_ph_last,hemoglobin_last,LORAZEPAM,hemoglobin_min,SENNOSIDES,lactate_min
103,resprate_min,bg_paco2_max,sodium_first,diasbp_min,bg_paco2_first,ASPIRIN,hemoglobin_min,wbc_last
104,LABETALOL,bg_ph_min,sysbp_min,heartrate_last,inr_last,bilirubin_last,HYDRALAZINE,HYDROCODONE
105,hemoglobin_last,lactate_last,hemoglobin_min,DIPHENHYDRAMINE,POTASSIUM CHLORIDE,sodium_max,electivesurgery,NOREPINEPHRINE
106,ENOXAPARIN,ZOLPIDEM,sodium_min,bicarbonate_min,calcium_max,resprate_max,HYDROCODONE,diasbp_max
107,sodium_first,lactate_max,bun_last,inr_first,race_black,bicarbonate_min,METOCLOPRAMIDE,MAGNESIUM SULF
108,bicarbonate_first,calcium_min,LACTATED RINGER,bg_baseexcess_max,sodium_last,bicarbonate_first,hematocrit_min,OMEPRAZOLE
109,resprate_first,LABETALOL,SENNOSIDES,hematocrit_last,LACTATED RINGER,hematocrit_min,bilirubin_first,inr_last
110,bg_baseexcess_last,inr_min,inr_first,potassium_first,bg_baseexcess_min,inr_min,inr_last,sodium_first
111,OMEPRAZOLE,AMIODARONE,bicarbonate_last,wbc_max,GLUCOSE,calcium_first,sysbp_max,urineoutput_sum
112,hematocrit_last,bicarbonate_first,DEXMEDETOMIDINE,platelet_last,bg_pao2fio2ratio_first,bg_paco2_last,inr_max,potassium_first
113,PREDNISONE,bun_first,DIPHENHYDRAMINE,bicarbonate_last,MORPHINE,bicarbonate_max,platelet_last,inr_first
114,lactate_min,hematocrit_max,platelet_last,bun_max,bg_pao2_max,calcium_min,bg_pao2fio2ratio_max,DEXTROSE
115,bicarbonate_last,MORPHINE,lactate_first,is_female,albumin_max,hematocrit_last,resprate_last,CEFTRIAXONE
116,tempc_min,bilirubin_max,inr_min,spo2_min,spo2_max,bg_baseexcess_min,BISACODYL,BMI
117,potassium_last,bilirubin_first,diasbp_min,bilirubin_min,glucose_last,electivesurgery,heartrate_max,MORPHINE
118,inr_min,potassium_last,ZOLPIDEM,tempc_min,LISINOPRIL,bg_pao2fio2ratio_first,bun_max,PROPOFOL
119,hemoglobin_min,bicarbonate_max,platelet_min,bun_first,CARVEDILOL,bg_baseexcess_first,ZOLPIDEM,bun_min
