col_name,Agg
FUROSEMIDE,40.78619723851427
creatinine_min,35.70557310780692
creatinine_last,33.22940119981497
glucose_max,25.04253786903407
INSULIN,25.036883294438237
ASPIRIN,24.221207837434093
hemoglobin_first,23.278109029784908
meanbp_first,20.573155984896168
glucose_min,17.851995243738763
wbc_first,17.152612721486943
sysbp_max,16.87744633772085
tempc_min,16.75056188363881
heartrate_min,16.57273071399426
bg_paco2_min,16.19019165767425
sodium_max,15.980194422358519
age,15.47186673465747
bg_pao2fio2ratio_min,15.468022693944762
calcium_first,13.652659154492182
sysbp_first,13.01490418176948
ONDANSETRON,12.78271328625518
potassium_last,12.51006695943123
albumin_first,12.281776236537633
sodium_last,12.144533588369036
SODIUM CHLORIDE,11.52634722615671
creatinine_max,11.342909701001398
bicarbonate_min,11.051561084969867
bg_baseexcess_first,10.921094402743655
glucose_last,10.88723931780138
bun_min,10.722037685700867
hematocrit_min,10.550376815579947
ACETAMIN,10.421346183740331
race_other,10.254744476128693
sodium_min,10.189052631194356
diasbp_last,10.118493164342649
sysbp_last,9.949103071986615
platelet_first,9.588320136532682
resprate_min,9.527025357944662
meanbp_max,9.524077463526503
BMI,9.471871383459568
hematocrit_max,9.287643746992199
DEXTROSE,9.11287725239934
electivesurgery,9.047601684234913
albumin_max,8.757881543565395
potassium_max,8.624592694613163
potassium_min,8.58997404902861
bg_ph_last,8.587847300316852
creatinine_first,8.485818914445085
diasbp_min,8.419078623361049
bun_max,8.379012694438506
bun_last,8.12820841926752
spo2_first,8.01342339077929
FENTANYL,7.551576022702167
HYDROMORPHONE,7.293266279915004
bg_pao2_last,7.061909348509266
potassium_first,6.984121940201948
calcium_min,6.983450934180488
HYDRALAZINE,6.879699289039961
bicarbonate_max,6.786743519308367
PANTOPRAZOLE,6.774319467472567
resprate_first,6.610474629050518
SENNOSIDES,6.4337963837421395
CEFAZOLIN,6.427969889210617
ALBUMIN,6.369554348568516
POTASSIUM CHLORIDE,6.341084816714113
LACTATED RINGER,6.214971510566167
diasbp_first,6.042681003545147
inr_min,5.944690919049982
MORPHINE,5.743028284054101
ATORVASTATIN,5.738634882084733
bilirubin_max,5.675143432099003
bg_paco2_max,5.6734701970798636
MIDAZOLAM,5.557203026248369
bg_pao2fio2ratio_first,5.533982539867297
calcium_last,5.526585638835003
spo2_min,5.455241413670078
bicarbonate_first,5.446115072961639
VANCOMYCIN,5.180194073399908
CHLORHEXIDINE,5.1369239684030195
is_female,4.981014223888817
wbc_last,4.869917264257753
heartrate_last,4.572486125863856
wbc_max,4.5341086451041965
inr_first,4.011380706185784
lactate_min,3.9723498967877187
bg_ph_min,3.9077934183886147
bilirubin_first,3.6520710912440357
hemoglobin_last,3.5285058296579637
HEPARIN,3.4873555523726756
OXYCODONE,3.294192732982611
CALCIUM GLUCONATE,3.1781395632018485
bilirubin_last,3.0779460376622954
IPRATROPIUM,3.0729043213637715
bg_baseexcess_max,3.072229114799031
sysbp_min,2.969517308943492
spo2_max,2.914105332235525
LISPRO,2.8975483886213476
NOREPINEPHRINE,2.894661404647388
bg_ph_first,2.8909223428099096
bicarbonate_last,2.7585729269459307
bg_baseexcess_min,2.682747308949613
PROPOFOL,2.646609985707683
METOPROLOL,2.547961248027228
bg_pao2_max,2.3789028776376018
hematocrit_first,2.268461672249975
AMIODARONE,2.2628084812126716
GLUCOSE,2.0844681133785983
bg_paco2_last,2.0445413952251523
heartrate_first,1.96821541833094
albumin_last,1.842337508267485
urineoutput_sum,1.7274683041744048
FAMOTIDINE,1.7200987788434026
GLUCAGON,1.6844705705267664
race_black,1.6657402816973792
ENOXAPARIN,1.6590398753390065
ALPRAZOLAM,1.650804559066491
meanbp_last,1.6505679600116099
lactate_max,1.6205066250309272
DEXMEDETOMIDINE,1.5796638347370258
bg_pao2_min,1.516680766167303
spo2_last,1.5050827249009406
resprate_max,1.4560405462738542
bg_ph_max,1.4386510321810833
MUPIROCIN,1.317908167953476
heartrate_max,1.2235650472705848
diasbp_max,1.1675841309863804
LEVETIRACETAM,1.1467190809812993
tempc_max,1.1221586792394447
ALTEPLASE,1.0469197699848394
DOCUSATE,1.0097778142186904
PREDNISONE,0.996869718504894
AMLODIPINE,0.9899343216754959
meanbp_min,0.9432459992980451
PHENYLEPHRINE,0.9382715629774696
CEFTRIAXONE,0.9298990270326912
MAGNESIUM HYDROXIDE,0.8489026515681949
HYDROCODONE,0.8255391219656406
LABETALOL,0.8177240961192273
FOLIC ACID,0.8170587090079353
calcium_max,0.8153529756083101
platelet_min,0.8148188077561105
hemoglobin_max,0.8029082337190606
POLYETHYLENE GLYCOL,0.7731116376651549
wbc_min,0.7672968597408135
sodium_first,0.7647077411219738
LEVOTHYROXINE,0.7601575140690408
tempc_first,0.7574129028574541
glucose_first,0.7299992550580134
PIPERACILLIN,0.7147269321908117
THIAMINE,0.6811132010172672
ALBUTEROL,0.6635012787124578
SIMVASTATIN,0.6588164124749016
SODIUM BICARBONATE,0.6336547548710751
lactate_last,0.6168445919463612
albumin_min,0.6001182165665645
bg_pao2fio2ratio_max,0.5922449699569725
DIAZEPAM,0.5814301130102465
VITAMIN,0.5476231211621861
TRAMADOL,0.5182281451069244
PROCHLORPERAZINE,0.5172135141351029
LEVOFLOXACIN,0.5164761457571182
HYDROCORTISONE,0.46235410940749727
lactate_first,0.45137056750820137
MAGNESIUM OXIDE,0.4459023521214331
LORAZEPAM,0.4265232555313041
inr_last,0.41783165544661616
CLONIDINE,0.40031550954843803
ALLOPURINOL,0.37126180471016135
NALOXONE,0.3687671233847879
KETOROLAC,0.3475798076261073
PNEUMOCOCCAL,0.3427005475492375
inr_max,0.3337199915239371
NITROPRUSSIDE,0.3292100931384262
hematocrit_last,0.31838222020164214
METHYLPREDNISOLONE,0.3033410508101841
POTASSIUM PHOSPHATE,0.29154868301348397
GLARGINE,0.27884153859640676
BIOTENE,0.27628444767679466
ZOLPIDEM,0.2426457143850096
ROCURONIUM,0.2292224816268517
LISINOPRIL,0.22776352535637379
IOPAMIDOL,0.2251832223810208
DEXAMETHASONE,0.20087815344277865
CLOPIDOGREL,0.1991811531828545
CALCIUM CHLORIDE,0.19688384734077896
INFLUENZA VAC,0.19225422100698325
bg_baseexcess_last,0.18947106838897088
AMINOCAPROIC ACID,0.1847525928487908
FERROUS,0.18141079288904677
DIPHENHYDRAMINE,0.17350507381855837
NICOTINE,0.1733647359943316
LIDOCAINE,0.17265064024255797
REFRESH P.M. OP OINT,0.17056849072914854
BISACODYL,0.17015663088966707
WARFARIN,0.1681548658018213
METOCLOPRAMIDE,0.16218947646224496
resprate_last,0.15635536877352832
RINGERS SOLUTION,0.1494111128036246
ANTICOAGULANT,0.1303884029365676
NICARDIPINE,0.12487618143977126
tempc_last,0.12170373125608772
NITROGLYCERIN,0.11289954921083697
AZITHROMYCIN,0.11152615316357968
bilirubin_min,0.1097724007992312
MEPERIDINE,0.10921888611826644
LORATADINE,0.10801151888100186
GLYCOPYRROLATE,0.1070943288296645
GABAPENTIN,0.10708181953154082
PRAVASTATIN SODIUM,0.10442835798247
SERTRALINE,0.10116541256559067
LOSARTAN,0.09989843365389323
CITALOPRAM,0.09963331478328956
BACITRACIN,0.09465204332093369
hemoglobin_min,0.0932203688123298
OMEPRAZOLE,0.08887085000097655
PLASMA-LYTE,0.08700358133972028
CARVEDILOL,0.08474058653370868
CEFEPIME,0.08343911186038623
FLUTICASONE-SALMETEROL,0.07939737928746377
SODIUM PHOSPHATE,0.07604538505626167
TICAGRELOR,0.06940310502451591
ATROPINE,0.06829848623887441
platelet_max,0.06472125527094931
HYDROCHLOROTHIAZIDE,0.0631997382454082
MONO-SOD,0.06300594563425307
ISOSORBIDE,0.06213070187877839
race_hispanic,0.05841004332431117
METFORMIN,0.057307650225848494
IBUPROFEN,0.05627332413843296
GUAIFENESIN,0.05503532443790478
DIGOXIN,0.05254842149285394
TACROLIMUS,0.05137906286476949
QUETIAPINE,0.049594632902976395
platelet_last,0.041276239714169334
CLONAZEPAM,0.037667730003643624
TIOTROPIUM,0.03259569020974505
MAGNESIUM SULF,0.02881521148981311
SODIUM POLYSTYRENE SULFONATE,0.027784101819494145
METRONIDAZOLE,0.027097187369156877
CIPROFLOXACIN,0.02526638459152569
MIDODRINE,0.023028344408128985
ASPART,0.022985006205637162
PRILOCAINE,0.021216341659977506
TAMSULOSIN,0.020692268500828934
INSULIN DETEMIR,0.02058805159979019
bg_paco2_first,0.02027044493051756
bg_pao2fio2ratio_last,0.019301755378961952
DILTIAZEM,0.01918903770810797
LANTUS,0.018230750305033995
NYSTATIN,0.017680301008236733
LACTULOSE,0.016921373294472325
bun_first,0.01671357819007907
